"GO.ID" "Term" "Annotated" "Significant" "Enrichment" "Fisher.pvalue" "FDR" "genes"
"355" "GO:0098742" "cell-cell adhesion via plasma-membrane a..." 266 19 2.58503401360544 "0.00016" 0.00431668049792531 "CDH1, CDH4, CDH6, CDH7, CDH11, CDH13, GRID2, CNTN2, TGFB2, CLDN5, NTNG1, CNTN6, CDH20, DSCAML1, PCDH10, HMCN1, KIRREL3, IGFN1, CDHR1"
"356" "GO:0003015" "heart process" 245 18 2.65878877400295 "0.00017" 0.00449325203252033 "ACTC1, CACNB2, CHRM2, DES, EPAS1, KCNJ3, TAC1, TGFB2, TNNI1, TNNI2, TNNT2, TBX18, CORIN, NMU, CTNNA3, HOPX, FOXN4, SGCZ"
"357" "GO:2000027" "regulation of animal organ morphogenesis" 124 12 3.49854227405248 "0.00017" 0.00449325203252033 "AR, GATA3, LHX1, ROR2, PAX2, SOX9, WT1, SOX8, NTN4, RSPO3, PRICKLE1, RSPO2"
"358" "GO:0050905" "neuromuscular process" 143 13 3.29113924050633 "0.00017" 0.00449325203252033 "ALDH1A3, GLRA1, GRID2, GRIN2A, KCNH1, PENK, SLC1A3, STAC, TNNI1, TNNI2, NRXN1, CSMD1, GRIN3A"
"359" "GO:0051961" "negative regulation of nervous system de..." 143 13 3.29113924050633 "0.00017" 0.00449325203252033 "DLX1, EPHA7, NTRK3, PITX3, SLIT1, SOX10, TRPC5, NRP1, LHX2, NTN1, SEMA3C, FSTL4, SEMA3D"
"360" "GO:0072087" "renal vesicle development" 20 5 9.09090909090909 "0.00017" 0.00449325203252033 "LHX1, PAX2, SOX9, SOX8, FMN1"
"361" "GO:0072088" "nephron epithelium morphogenesis" 73 9 4.45544554455446 "0.00018" 0.00470024096385542 "GATA3, LHX1, PAX2, SOX9, WT1, SOX8, GREB1L, ADAMTS16, FMN1"
"362" "GO:0090183" "regulation of kidney development" 31 6 6.97674418604651 "0.00018" 0.00470024096385542 "GATA3, LHX1, PAX2, SOX9, WT1, SOX8"
"363" "GO:0050767" "regulation of neurogenesis" 360 23 2.31155778894472 "0.00018" 0.00470024096385542 "CDH4, DLX1, EPHA7, ETV5, FOXG1, FN1, HOXB3, KIT, NTRK3, OPRM1, PITX3, RELN, SOX10, TRPC5, NRP1, LHX2, NTN1, SEMA3C, FSTL4, SOX8, HES6, CHODL, SEMA3D"
"364" "GO:0060324" "face development" 44 7 5.73770491803279 "0.00019" 0.00492183266932271 "ALDH1A3, COL1A1, DLX5, HOXB3, PDGFRA, CLDN5, ALDH1A2"
"365" "GO:0006836" "neurotransmitter transport" 205 16 2.82186948853616 "0.00019" 0.00492183266932271 "CACNB2, CNR1, GABRA2, MEF2C, SLC1A3, SYN2, PPFIA2, SLC6A5, NRXN1, SV2C, RIMS1, SLC17A6, MCTP1, GRIN3A, SYT6, SLC17A8"
"368" "GO:1901699" "cellular response to nitrogen compound" 663 35 1.90943807965085 "0.00020" 0.00516031746031746 "ACTA1, ACTN2, AGTR1, AHR, BLM, CDH1, CHRM2, CHRM3, COL1A1, COL1A2, GABRB2, GLRA1, HTR7, IRF3, ITPR2, KCNC2, LCN2, MEF2C, OPRM1, PDE3A, PDGFRA, PENK, PPARG, RYR1, SLC1A3, SOX9, SP1, TSHR, WT1, NR4A3, KLF11, PID1, PDGFD, KLF16, HCN1"
"369" "GO:1905114" "cell surface receptor signaling pathway ..." 536 30 2.02429149797571 "0.00021" 0.00535458823529412 "COL1A1, DLX5, EGF, GPC5, GATA3, GLRA1, GRID2, GRIK2, GRIN2A, GRIN2B, MEF2C, ROR2, OPRM1, RELN, SOX2, SOX9, SOX10, TBX18, NRXN1, SOX13, WIF1, RIMS1, DKK2, CELF4, WNT5B, RSPO3, PRICKLE1, GSC, RSPO2, TRABD2B"
"370" "GO:0006939" "smooth muscle contraction" 109 11 3.65448504983389 "0.00021" 0.00535458823529412 "CHRM2, CHRM3, EDNRB, HTR7, KCNMA1, KIT, SSTR2, TBX3, NMU, GRIP2, MYOCD"
"371" "GO:0072009" "nephron epithelium development" 109 11 3.65448504983389 "0.00021" 0.00535458823529412 "CALB1, GATA3, LHX1, MEF2C, PAX2, SOX9, WT1, SOX8, GREB1L, ADAMTS16, FMN1"
"372" "GO:0016331" "morphogenesis of embryonic epithelium" 147 13 3.20197044334975 "0.00022" 0.00558765625 "ALDH1A3, AR, GATA3, PAX2, SOX9, TFAP2A, TGFB2, ALDH1A2, TBX18, LHX2, DLC1, SOX8, PRICKLE1"
"373" "GO:0060349" "bone morphogenesis" 92 10 3.93700787401575 "0.00023" 0.00579635658914729 "BMPR1B, COL1A1, COL13A1, DLX5, HAS2, MEF2C, RARB, SOX9, TFAP2A, TRPV4"
"374" "GO:0071417" "cellular response to organonitrogen comp..." 615 33 1.94117647058824 "0.00023" 0.00579635658914729 "ACTA1, ACTN2, AGTR1, AHR, BLM, CDH1, CHRM2, CHRM3, COL1A1, COL1A2, GABRB2, GLRA1, HTR7, ITPR2, LCN2, MEF2C, OPRM1, PDE3A, PDGFRA, PENK, PPARG, RYR1, SLC1A3, SOX9, SP1, TSHR, WT1, NR4A3, KLF11, PID1, PDGFD, KLF16, HCN1"
"375" "GO:0021536" "diencephalon development" 76 9 4.28571428571429 "0.00024" 0.00597885057471264 "CDH1, KCNC2, PITX2, POU3F2, SOX2, NRP2, NRP1, ALDH1A2, NDNF"
"376" "GO:0031016" "pancreas development" 76 9 4.28571428571429 "0.00024" 0.00597885057471264 "NR5A2, FOXA2, ONECUT1, MEIS2, NEUROD1, SOX9, ALDH1A2, DNAAF1, RFX6"
"377" "GO:0072028" "nephron morphogenesis" 76 9 4.28571428571429 "0.00024" 0.00597885057471264 "GATA3, LHX1, PAX2, SOX9, WT1, SOX8, GREB1L, ADAMTS16, FMN1"
"378" "GO:0060993" "kidney morphogenesis" 93 10 3.89105058365759 "0.00025" 0.0061109022556391 "CALB1, GATA3, LHX1, PAX2, SOX9, WT1, SOX8, GREB1L, ADAMTS16, FMN1"
"379" "GO:0033993" "response to lipid" 887 43 1.7536704730832 "0.00025" 0.0061109022556391 "ACTA1, ADCY2, AHR, APOB, AR, CNR1, COL1A1, EDNRB, EPHA3, ESR1, FOS, CXCL2, HPGD, TNC, IRF3, JUND, LCN2, MEF2C, NTRK3, OPRM1, SERPINE1, PAX2, PENK, PPARG, CCL2, SLIT3, SOX9, SOX10, SST, SSTR2, TAC1, TFAP4, TGFB2, TRH, NR4A3, FOSL1, HMGA2, ALDH1A2, PID1, BRINP2, WNT5B, FOXP2, FBXO32"
"380" "GO:0001505" "regulation of neurotransmitter levels" 210 16 2.75862068965517 "0.00025" 0.0061109022556391 "CACNB2, CNR1, GABRA2, GAD1, GAD2, MEF2C, SLC1A3, SYN2, PPFIA2, SLC6A5, NRXN1, RIMS1, MOXD1, MCTP1, GRIN3A, SYT6"
"381" "GO:0050931" "pigment cell differentiation" 33 6 6.59340659340659 "0.00025" 0.0061109022556391 "EDNRB, KIT, MEF2C, KITLG, SOX10, ADAMTS20"
"382" "GO:0045596" "negative regulation of cell differentiat..." 645 34 1.90689848569826 "0.00025" 0.0061109022556391 "RUNX1, DLX1, EDNRB, EPHA7, FOXG1, GATA3, FOXA2, MEIS1, MEIS2, MMP9, NTRK3, PITX3, PPARG, RARB, SOX2, SOX9, SOX10, CNTN2, TBX3, TGFB2, TRPC5, NRP1, LHX2, NTN1, SEMA3C, FSTL4, ZFPM2, SOX8, TRPV4, HOPX, UBASH3B, MYOCD, PRICKLE1, SEMA3D"
"383" "GO:0051480" "regulation of cytosolic calcium ion conc..." 345 22 2.30607966457023 "0.00026" 0.00628446096654275 "AGTR1, CACNB2, CALB1, CNR1, LPAR1, EDNRB, ESR1, GRIN2A, GRIN2B, GRM1, ITPR2, PDGFRA, RYR1, TAC1, TRPC3, TRPC5, SCGN, NMU, SLC24A2, JPH2, TRPV4, UBASH3B"
"384" "GO:0050808" "synapse organization" 417 25 2.16825672159584 "0.00026" 0.00628446096654275 "ASIC2, CACNB2, CDH1, EPHA7, GABRA2, GABRB2, GRID2, GRIN2B, TNC, MEF2C, NTRK3, RELN, SLIT1, CNTN2, PPFIA2, NRP2, NRP1, NRXN1, NTN1, CACNG2, NTNG1, CNTN5, DOCK10, KIRREL3, IGFN1"
"385" "GO:0042692" "muscle cell differentiation" 369 23 2.25490196078431 "0.00026" 0.00628446096654275 "ACTA1, ACTC1, ACTN2, EDNRB, KCNH1, KIT, KRT19, MEF2C, PDGFRA, RARB, RYR1, SOX9, TBX3, TNNT2, WT1, TBX18, ADAMTS5, WNT5B, MEGF10, HOPX, MYOCD, WFIKKN2, SGCZ"
"386" "GO:0008306" "associative learning" 77 9 4.22535211267606 "0.00027" 0.00645419117647059 "ELAVL4, FOS, GRIN2A, KIT, MEIS2, RELN, TAC1, TBR1, CSMD1"
"388" "GO:0010634" "positive regulation of epithelial cell m..." 170 14 2.97872340425532 "0.00027" 0.00645419117647059 "EGF, GATA3, HAS2, LCN2, MMP9, RREB1, SOX9, SP1, TAC1, TGFB2, NRP2, NRP1, RHOJ, CCBE1"
"389" "GO:0050954" "sensory perception of mechanical stimulu..." 170 14 2.97872340425532 "0.00027" 0.00645419117647059 "ASIC2, COL1A1, GABRB2, GRM7, KIT, PAX3, SLC1A3, TFAP2A, CNTN5, TSPEAR, PKHD1L1, MYO3B, SLC17A8, LHFPL3"
"390" "GO:0010631" "epithelial cell migration" 347 22 2.29405630865485 "0.00028" 0.00662021818181818 "CDH13, EGF, FAP, GATA3, HAS2, KIT, LCN2, MEF2C, MMP9, PPARG, RREB1, SOX9, SP1, TAC1, TGFB2, NRP2, NRP1, ANLN, ADAMTS9, RHOJ, CCBE1, BMPER"
"391" "GO:0007413" "axonal fasciculation" 22 5 8.19672131147541 "0.00028" 0.00662021818181818 "CNR1, EPHA3, NCAM2, CNTN2, NRP1"
"392" "GO:0106030" "neuron projection fasciculation" 22 5 8.19672131147541 "0.00028" 0.00662021818181818 "CNR1, EPHA3, NCAM2, CNTN2, NRP1"
"393" "GO:0099601" "regulation of neurotransmitter receptor ..." 62 8 4.67836257309941 "0.00029" 0.0068318115942029 "MEF2C, OPRM1, RELN, RASGRF2, CCL2, CACNG2, CACNG5, SHISA9"
"394" "GO:0030326" "embryonic limb morphogenesis" 113 11 3.52564102564103 "0.00030" 0.00696642857142857 "DLX5, DLX6, ROR2, RARB, TBX3, TFAP2A, TGFB2, ALDH1A2, SP8, RSPO2, SP9"
"395" "GO:0035113" "embryonic appendage morphogenesis" 113 11 3.52564102564103 "0.00030" 0.00696642857142857 "DLX5, DLX6, ROR2, RARB, TBX3, TFAP2A, TGFB2, ALDH1A2, SP8, RSPO2, SP9"
"396" "GO:0001525" "angiogenesis" 572 31 1.96078431372549 "0.00030" 0.00696642857142857 "AGTR1, RUNX1, CDH13, COL4A2, EGF, ELK3, EPAS1, FAP, FN1, HOXB3, MEIS1, SERPINE1, PDGFRA, PPARG, PTPRB, CCL2, SP1, TGFB2, CLDN5, HMGA2, NRP2, NRP1, ADAMTS1, ADAMTS9, RHOJ, NDNF, APOLD1, RSPO3, E2F7, CCBE1, BMPER"
"397" "GO:0050678" "regulation of epithelial cell proliferat..." 373 23 2.23084384093113 "0.00030" 0.00696642857142857 "AGTR1, AR, CDH13, DLX5, DLX6, EDNRB, EGF, GATA3, HAS2, MEF2C, PAX2, PPARG, RREB1, CCL2, SOX2, SOX9, SP1, TGFB2, NR4A3, NRP2, NRP1, ALDH1A2, BCL11B"
"398" "GO:0090132" "epithelium migration" 350 22 2.27507755946225 "0.00031" 0.00717302491103203 "CDH13, EGF, FAP, GATA3, HAS2, KIT, LCN2, MEF2C, MMP9, PPARG, RREB1, SOX9, SP1, TAC1, TGFB2, NRP2, NRP1, ANLN, ADAMTS9, RHOJ, CCBE1, BMPER"
"399" "GO:0051101" "regulation of DNA binding" 114 11 3.49206349206349 "0.00032" 0.00737815602836879 "EGF, GATA3, MMP9, NEUROD1, PPARG, TFAP4, HMGA2, LHX2, MYOCD, WFIKKN2, ZBTB7C"
"400" "GO:0007416" "synapse assembly" 173 14 2.92887029288703 "0.00033" 0.00755514084507042 "ASIC2, CDH1, EPHA7, GABRA2, GABRB2, GRID2, MEF2C, NTRK3, SLIT1, NRXN1, NTN1, CNTN5, KIRREL3, IGFN1"
"402" "GO:0071248" "cellular response to metal ion" 194 15 2.79850746268657 "0.00033" 0.00755514084507042 "CDH1, ECT2, FOS, GLRA1, JUNB, JUND, KCNH1, MEF2C, MMP9, RYR1, TFAP2A, CPNE4, CPNE8, SYT6, SYT10"
"403" "GO:0007613" "memory" 115 11 3.45911949685535 "0.00034" 0.00775677192982456 "CALB1, CAMK4, CNR1, GRIN2A, RELN, SCN2A, SGK1, TAC1, SORCS3, SLC24A2, PAK5, CSMD1"
"404" "GO:0021544" "subpallium development" 23 5 7.8125 "0.00035" 0.00790173611111111 "ALDH1A3, DLX1, RARB, BCL11B, FOXP2"
"405" "GO:0021884" "forebrain neuron development" 23 5 7.8125 "0.00035" 0.00790173611111111 "FOXG1, NRP2, NRP1, NDNF, LHX8"
"406" "GO:0035051" "cardiocyte differentiation" 154 13 3.05164319248826 "0.00035" 0.00790173611111111 "ACTC1, ACTN2, MEF2C, PDGFRA, PITX2, RARB, TBX3, TGFB2, WT1, TBX18, SEMA3C, MYOCD, PRICKLE1"
"407" "GO:0043065" "positive regulation of apoptotic process" 528 29 1.98630136986301 "0.00037" 0.0083243598615917 "ALDH1A3, BMPR1B, CNR1, ECT2, EPHA7, FAP, GRIN2A, HPGD, KCNMA1, LCN2, MEF2C, MAP3K5, MMP9, NEUROD1, PITX3, PPARG, RARB, CCL2, TFAP2A, TFAP4, TGFB2, TOP2A, FOSL1, HMGA2, KLF11, UNC5C, ALDH1A2, DLC1, PLA2R1"
"409" "GO:0007187" "G protein-coupled receptor signaling pat..." 65 8 4.44444444444444 "0.00041" 0.00909836177474403 "CHRM2, CHRM3, CNR1, HTR7, OPRM1, CCL2, SSTR2, TSHR"
"410" "GO:0009880" "embryonic pattern specification" 65 8 4.44444444444444 "0.00041" 0.00909836177474403 "LHX1, MEIS1, MEIS2, TBX3, WT1, NRP2, NRP1, SATB2"
"411" "GO:0060348" "bone development" 198 15 2.74223034734918 "0.00041" 0.00909836177474403 "BMPR1B, COL1A1, COL13A1, DLX5, FLI1, HAS2, KIT, MEF2C, MEIS1, PITX2, RARB, RYR1, SOX9, TFAP2A, TRPV4"
"412" "GO:2001257" "regulation of cation channel activity" 177 14 2.86298568507157 "0.00041" 0.00909836177474403 "ACTN2, CACNB2, KCNC2, MEF2C, MMP9, OPRM1, RELN, RASGRF2, CCL2, STAC, CACNG2, CACNG5, JPH2, SHISA9"
"413" "GO:0060688" "regulation of morphogenesis of a branchi..." 50 7 5.07246376811594 "0.00042" 0.00928857142857143 "AR, ESR1, LHX1, PAX2, SOX9, SOX8, NTN4"
"415" "GO:0003148" "outflow tract septum morphogenesis" 24 5 7.57575757575758 "0.00043" 0.00944547297297297 "TGFB2, NRP2, NRP1, SEMA3C, ZFPM2"
"416" "GO:2000310" "regulation of NMDA receptor activity" 24 5 7.57575757575758 "0.00043" 0.00944547297297297 "MEF2C, OPRM1, RELN, RASGRF2, CCL2"
"418" "GO:0001649" "osteoblast differentiation" 221 16 2.61865793780687 "0.00045" 0.00981845637583893 "BMPR1B, COL1A1, DLX5, TNC, JUNB, JUND, MEF2C, PENK, PPARG, SOX2, SOX9, IFITM1, SATB2, SOX8, SMOC1, RSPO2"
"420" "GO:0007204" "positive regulation of cytosolic calcium..." 312 20 2.32018561484919 "0.00045" 0.00981845637583893 "AGTR1, CACNB2, CNR1, LPAR1, EDNRB, ESR1, GRIN2A, GRIN2B, GRM1, ITPR2, PDGFRA, RYR1, TAC1, TRPC3, TRPC5, NMU, SLC24A2, JPH2, TRPV4, UBASH3B"
"421" "GO:0048675" "axon extension" 119 11 3.34346504559271 "0.00046" 0.00993661129568106 "CDH4, FN1, SLIT1, SLIT3, TRPC5, NRP2, NRP1, LHX2, NTN1, SEMA3C, SEMA3D"
"422" "GO:0072160" "nephron tubule epithelial cell different..." 14 4 10.2564102564103 "0.00046" 0.00993661129568106 "GATA3, LHX1, MEF2C, PAX2"
"423" "GO:0051216" "cartilage development" 179 14 2.82828282828283 "0.00046" 0.00993661129568106 "BMPR1B, RUNX1, COL1A1, HOXB3, HOXD3, MEF2C, ROR2, RARB, SOX9, HMGA2, SATB2, TRPV4, WNT5B, RSPO2"
"424" "GO:0050768" "negative regulation of neurogenesis" 139 12 3.125 "0.00048" 0.0103343046357616 "DLX1, EPHA7, NTRK3, PITX3, SOX10, TRPC5, NRP1, LHX2, NTN1, SEMA3C, FSTL4, SEMA3D"
"425" "GO:0048846" "axon extension involved in axon guidance" 37 6 5.88235294117647 "0.00049" 0.0104801973684211 "SLIT1, SLIT3, NRP2, NRP1, SEMA3C, SEMA3D"
"426" "GO:1902284" "neuron projection extension involved in ..." 37 6 5.88235294117647 "0.00049" 0.0104801973684211 "SLIT1, SLIT3, NRP2, NRP1, SEMA3C, SEMA3D"
"428" "GO:0010842" "retina layer formation" 25 5 7.2463768115942 "0.00053" 0.0112249511400651 "CALB1, LHX1, TFAP2A, IGFN1, FOXN4"
"429" "GO:0072207" "metanephric epithelium development" 25 5 7.2463768115942 "0.00053" 0.0112249511400651 "CALB1, PAX2, SOX9, WT1, SOX8"
"430" "GO:2000311" "regulation of AMPA receptor activity" 25 5 7.2463768115942 "0.00053" 0.0112249511400651 "MEF2C, RELN, CACNG2, CACNG5, SHISA9"
"431" "GO:0042698" "ovulation cycle" 68 8 4.25531914893617 "0.00055" 0.0116107142857143 "BMPR1B, ESR1, HAS2, OPRM1, PDGFRA, SLIT3, TGFB2, ADAMTS1"
"432" "GO:0008285" "negative regulation of cell population p..." 755 37 1.77287973167226 "0.00056" 0.0117835598705502 "AR, BMPR1B, CDH13, ETV3, FAP, GATA3, MEF2C, MEIS1, ROR2, OPRM1, PPARG, RARB, CCL2, SLIT3, SOX2, SOX9, SOX10, SST, SSTR2, TBX3, TFAP2A, TFAP4, TGFB2, VIPR2, WT1, FOSL1, KLF11, IFITM1, ALDH1A2, SKAP2, ADAMTS1, DLC1, CTCF, BCL11B, MYOCD, E2F7, ZBTB7C"
"433" "GO:0071560" "cellular response to transforming growth..." 249 17 2.47093023255814 "0.00059" 0.0123747741935484 "COL1A1, COL1A2, COL4A2, DLX1, FOS, ONECUT1, HPGD, MEF2C, PDE3A, PENK, PPARG, SOX9, TGFB2, CLDN5, PDGFD, MYOCD, WFIKKN2"
"435" "GO:0043068" "positive regulation of programmed cell d..." 544 29 1.9281914893617 "0.00060" 0.0125440514469453 "ALDH1A3, BMPR1B, CNR1, ECT2, EPHA7, FAP, GRIN2A, HPGD, KCNMA1, LCN2, MEF2C, MAP3K5, MMP9, NEUROD1, PITX3, PPARG, RARB, CCL2, TFAP2A, TFAP4, TGFB2, TOP2A, FOSL1, HMGA2, KLF11, UNC5C, ALDH1A2, DLC1, PLA2R1"
"436" "GO:0008217" "regulation of blood pressure" 184 14 2.75049115913556 "0.00061" 0.0126716293929712 "ASIC2, AGTR1, AR, CNR1, COL1A2, EDNRB, PPARG, SGK1, TAC1, CORIN, NMU, TRHDE, GRIP2, ADAMTS16"
"437" "GO:0071407" "cellular response to organic cyclic comp..." 571 30 1.90114068441065 "0.00061" 0.0126716293929712 "ADCY2, AHR, AR, BLM, CDH1, CHRM2, CHRM3, COL1A1, ESR1, GABRB2, HTR7, TNC, IRF3, ITPR2, MEF2C, OPRM1, PDE3A, PENK, RYR1, CCL2, SLC1A3, SOX10, SSTR2, TFAP4, WT1, NR4A3, HMGA2, KLF16, FBXO32, HCN1"
"438" "GO:0072224" "metanephric glomerulus development" 15 4 9.75609756097561 "0.00062" 0.0127975873015873 "LHX1, PAX2, PDGFRA, WT1"
"439" "GO:0099509" "regulation of presynaptic cytosolic calc..." 15 4 9.75609756097561 "0.00062" 0.0127975873015873 "CACNB2, CALB1, CNR1, SCGN"
"442" "GO:1903522" "regulation of blood circulation" 251 17 2.44956772334294 "0.00064" 0.0131686075949367 "ASIC2, AGTR1, CACNB2, CHRM2, CHRM3, DES, EPAS1, KCNJ3, TAC1, TGFB2, TNNT2, TBX18, CORIN, NMU, CTNNA3, HOPX, FOXN4"
"443" "GO:0042063" "gliogenesis" 298 19 2.30582524271845 "0.00066" 0.0135372870662461 "DLX1, ETV5, FOXG1, NTRK3, ROR2, PAX2, PENK, PITX3, POU3F2, RELN, CCL2, SOX2, SOX9, SOX10, CNTN2, TGFB2, SOX13, SOX8, PRDM8"
"444" "GO:0048588" "developmental cell growth" 231 16 2.50391236306729 "0.00072" 0.0147215094339623 "CDH4, EPHA7, FN1, SH3GL2, SLIT1, SLIT3, SOX9, TRPC5, NRP2, NRP1, LHX2, NTN1, SEMA3C, RIMS1, FSTL4, SEMA3D"
"446" "GO:0010942" "positive regulation of cell death" 604 31 1.8562874251497 "0.00074" 0.0149890342679128 "ALDH1A3, BMPR1B, CNR1, ECT2, EPHA7, FAP, FOS, GRIN2A, GRIN2B, HPGD, KCNMA1, LCN2, MEF2C, MAP3K5, MMP9, NEUROD1, PITX3, PPARG, RARB, CCL2, TFAP2A, TFAP4, TGFB2, TOP2A, FOSL1, HMGA2, KLF11, UNC5C, ALDH1A2, DLC1, PLA2R1"
"447" "GO:0050795" "regulation of behavior" 71 8 4.08163265306122 "0.00074" 0.0149890342679128 "CNR1, MEF2C, PENK, RELN, PTGDS, TRH, NR4A3, NMU"
"448" "GO:2001259" "positive regulation of cation channel ac..." 71 8 4.08163265306122 "0.00074" 0.0149890342679128 "ACTN2, CACNB2, KCNC2, RELN, CCL2, STAC, CACNG2, JPH2"
"449" "GO:0003229" "ventricular cardiac muscle tissue develo..." 55 7 4.60526315789474 "0.00076" 0.0153463354037267 "TBX3, TGFB2, TNNI1, TNNT2, ZFPM2, ADAMTS9, HOPX"
"450" "GO:0071559" "response to transforming growth factor b..." 255 17 2.4113475177305 "0.00077" 0.0155001238390093 "COL1A1, COL1A2, COL4A2, DLX1, FOS, ONECUT1, HPGD, MEF2C, PDE3A, PENK, PPARG, SOX9, TGFB2, CLDN5, PDGFD, MYOCD, WFIKKN2"
